 Init noise sample_rate tau1_init tau2_init sigma_init acc acc1 acc2 acc3
109 110 same 32 0.9543994665145874 0.767525315284729 0.40657567977905273 0.1823911815881729 0.170979306101799 0.18252389132976532 0.1936703771352768
110 111 same 256 0.06522125005722046 0.8607693314552307 0.08639341592788696 0.2855294644832611 0.267416387796402 0.3000597059726715 0.28911226987838745
111 112 different 256 0.8032394051551819 0.20663917064666748 0.28867673873901367 0.17645303905010223 0.14132165908813477 0.20362260937690735 0.184414803981781
112 113 different 256 0.06727445125579834 0.09344929456710815 0.540454626083374 0.18414942920207977 0.20441879332065582 0.12211385369300842 0.22591561079025269
113 114 same 64 0.2975400686264038 0.5615831017494202 0.3730791211128235 0.1824243664741516 0.1645103543996811 0.16311703622341156 0.219645693898201
114 115 different 32 0.7931560277938843 0.4860416650772095 0.1958579421043396 0.18491242825984955 0.09942276775836945 0.24980095028877258 0.20551353693008423
115 116 different 32 0.49004918336868286 0.8587309122085571 0.20869868993759155 0.2363654375076294 0.20342355966567993 0.2646297812461853 0.24104298651218414
116 117 same 128 0.5165885090827942 0.9538891911506653 0.7988721132278442 0.1677282303571701 0.12470143288373947 0.1666998416185379 0.21178343892097473
117 118 same 32 0.7072646021842957 0.8812509179115295 0.04410296678543091 0.33820995688438416 0.2648288309574127 0.36942675709724426 0.3803741931915283
118 119 different 16 0.6939761638641357 0.42729926109313965 0.4902496337890625 0.26953956484794617 0.25348326563835144 0.2549761235713959 0.3001592457294464
119 120 different 32 0.9009760618209839 0.9678487777709961 0.33415699005126953 0.17369957268238068 0.2166600376367569 0.11096735298633575 0.19347134232521057
120 121 same 32 0.3090709447860718 0.8077393174171448 0.9900377988815308 0.2322186827659607 0.2459195852279663 0.1780453771352768 0.2726910710334778
121 122 different 256 0.2091308832168579 0.9278009533882141 0.8399096727371216 0.16407908499240875 0.16918790340423584 0.1770501583814621 0.14599920809268951
122 123 different 512 0.4933634400367737 0.6141442656517029 0.06527799367904663 0.19619160890579224 0.19128184020519257 0.16719745099544525 0.2300955355167389
123 124 different 64 0.7928386926651001 0.5816866159439087 0.6222777962684631 0.16742967069149017 0.2208399623632431 0.10927547514438629 0.17217355966567993
124 125 same 16 0.557536244392395 0.7377715706825256 0.5537229180335999 0.24323248863220215 0.26532644033432007 0.2489052563905716 0.21546576917171478
125 126 different 32 0.23182278871536255 0.4594988226890564 0.7263275384902954 0.3064623177051544 0.3206608295440674 0.2929936349391937 0.30573248863220215
126 127 different 128 0.513140082359314 0.44910258054733276 0.5642089247703552 0.12373938411474228 0.172770693898201 0.09932325035333633 0.09912420064210892
127 128 same 32 0.9878125786781311 0.26929032802581787 0.8858755826950073 0.1625862568616867 0.13495223224163055 0.18471337854862213 0.16809315979480743
128 129 different 32 0.6055997610092163 0.397708535194397 0.18442153930664062 0.2447253316640854 0.2730891704559326 0.22770701348781586 0.2333797812461853
129 130 same 128 0.8738924860954285 0.33341020345687866 0.0748974084854126 0.2237924486398697 0.2917993664741516 0.15585191547870636 0.22372610867023468
130 131 same 512 0.24052280187606812 0.19616347551345825 0.5118172764778137 0.14009422063827515 0.1697850376367569 0.10987260937690735 0.140625
131 132 different 128 0.0062329769134521484 0.05201750993728638 0.9526714086532593 0.6352840065956116 0.628284215927124 0.6354498267173767 0.6421178579330444
132 133 different 64 0.03869718313217163 0.3750187158584595 0.04790842533111572 0.6388667821884155 0.6454020738601685 0.6434116363525391 0.6277866363525391
133 134 same 32 0.715192973613739 0.1789366602897644 0.9728941321372986 0.12954485416412354 0.1020103469491005 0.18710191547870636 0.09952229261398315
134 135 different 256 0.5085439682006836 0.28375428915023804 0.45348840951919556 0.14248275756835938 0.13674363493919373 0.19078423082828522 0.09992038458585739
135 136 same 128 0.258510947227478 0.016335487365722656 0.6881016492843628 0.14085721969604492 0.14828822016716003 0.17486067116260529 0.09942276775836945
136 137 different 64 0.42048096656799316 0.20670831203460693 0.47290050983428955 0.17064756155014038 0.13783837854862213 0.17874203622341156 0.19536225497722626
137 138 different 16 0.793889582157135 0.4403371810913086 0.6023263335227966 0.23619957268238068 0.19426751136779785 0.24193869531154633 0.27239251136779785
138 139 different 16 0.4762642979621887 0.403567373752594 0.809861421585083 0.27879512310028076 0.28891322016716003 0.2895103394985199 0.25796177983283997
139 140 different 64 0.3659355044364929 0.3982148766517639 0.7338981628417969 0.15296576917171478 0.09942276775836945 0.1824243664741516 0.1770501583814621
140 141 different 128 0.39252686500549316 0.10541641712188721 0.05694371461868286 0.19652335345745087 0.10390127450227737 0.2957802414894104 0.18988853693008423
141 142 same 256 0.9077248573303223 0.98557448387146 0.03976714611053467 0.28924497961997986 0.2613455355167389 0.33797770738601685 0.26841163635253906
142 143 same 64 0.6086913347244263 0.06556224822998047 0.5907939076423645 0.17250530421733856 0.14560110867023468 0.15873806178569794 0.21317675709724426
143 144 different 512 0.3903120160102844 0.34067338705062866 0.18435877561569214 0.14440684020519257 0.21904855966567993 0.11554538458585739 0.09862659126520157
144 145 same 512 0.9047833681106567 0.8993253707885742 0.23582470417022705 0.19625796377658844 0.16948646306991577 0.20013932883739471 0.21914808452129364
145 146 same 256 0.5950870513916016 0.7239479422569275 0.8572377562522888 0.16736333072185516 0.1613256335258484 0.15784235298633575 0.18292197585105896
146 147 different 16 0.9954081177711487 0.5776084065437317 0.6788129210472107 0.20660828053951263 0.2375597059726715 0.184414803981781 0.1978503167629242
147 148 different 512 0.003180563449859619 0.35951220989227295 0.5424064993858337 0.6038680672645569 0.5821058750152588 0.6161425113677979 0.6133558750152588
148 149 same 32 0.9730657935142517 0.05712890625 0.19413799047470093 0.23493893444538116 0.2802547812461853 0.22571656107902527 0.1988455355167389
149 150 same 128 0.24485057592391968 0.2109476923942566 0.7808603048324585 0.15757696330547333 0.09992038458585739 0.184414803981781 0.188395693898201
150 151 same 128 0.376939058303833 0.4443941116333008 0.04256486892700195 0.3033771216869354 0.2730891704559326 0.28702229261398315 0.3500199019908905
151 152 same 32 0.7034991383552551 0.9516278505325317 0.7636555433273315 0.18059979379177094 0.16590365767478943 0.1915804147720337 0.1843152940273285
152 153 different 128 0.43943363428115845 0.8999767303466797 0.5592626929283142 0.14238323271274567 0.09952229261398315 0.14520302414894104 0.1824243664741516
153 154 same 64 0.05691802501678467 0.34675276279449463 0.5770846009254456 0.39828822016716003 0.4323248267173767 0.35370221734046936 0.40883758664131165
154 155 different 64 0.223771333694458 0.9295008778572083 0.9887439012527466 0.19294054806232452 0.22173567116260529 0.13833598792552948 0.21875
155 156 different 256 0.2432117462158203 0.9337995648384094 0.6143442392349243 0.1208864077925682 0.1011146530508995 0.13166798651218414 0.12987659871578217
156 157 same 64 0.16832685470581055 0.842383086681366 0.18168675899505615 0.2980360984802246 0.35340365767478943 0.27229300141334534 0.26841163635253906
157 158 same 16 0.2561511993408203 0.5864899158477783 0.7711562514305115 0.3552282750606537 0.3549960255622864 0.3531050980091095 0.357583612203598
158 159 same 128 0.8951535224914551 0.7695443630218506 0.11140447854995728 0.20485006272792816 0.1980493664741516 0.2209394872188568 0.19556130468845367
159 160 different 16 0.6371319890022278 0.5721331238746643 0.5581341981887817 0.2552083432674408 0.22173567116260529 0.27866241335868835 0.26522690057754517
